rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
306,yu_l,Lisheng Yu,"Department of Otorhinolaryngology, Head and Neck Surgery, Peking University People's Hospital, Beijing, China.",China,4,2,2,0.5,0,0,0.0658382847919703,"Plasma Cells, Plasmacytoma, Turbinates, Cryoelectron Microscopy, ADP-ribosyl Cyclase 1, Antibodies, Monoclonal","The Journal of international medical research, Journal of hematology & oncology, Zhongguo shi yan xue ye xue za zhi",2021-2025,Asia-Pacific,2,78.1,86.2,55.1,44.2,86.2,62.0,68.7,Tier 2,False,True
307,zhu_h,H Zhu,"Department of Hematology, the Affiliated Hospital of Xuzhou Medical University, Xuzhou 221002, China.",China,5,1,3,0.6,0,0,0.08017459474969124,"Prognosis, Receptors, Chimeric Antigen, Immunotherapy, Adoptive, T-Lymphocytes, Risk Factors, Biomarkers, Tumor","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Biomolecules, International immunopharmacology",2022-2026,Asia-Pacific,1,85.1,65.9,78.7,44.2,65.9,70.0,68.7,Tier 2,False,True
308,warsame_r,Rahma Warsame,"Division of Hematology, The Ottawa Hospital, Ottawa, ON, Canada.",Canada,5,1,3,0.6,0,0,0.0784319855900602,"Disease Progression, Retrospective Studies, Disease Management, Risk Assessment, Smoldering Multiple Myeloma, Hematopoietic Stem Cell Transplantation","Blood cancer journal, Hematology. American Society of Hematology. Education Program, Clinical lymphoma, myeloma & leukemia",2021-2026,North America,1,85.1,65.9,78.7,44.2,65.9,69.1,68.6,Tier 2,False,True
309,berenson_j,James R Berenson,"Institute for Myeloma and Bone Cancer Research, 9201 Sunset Blvd #300, West Hollywood, CA 90069, USA.",USA,3,2,1,0.333,7,7,0.03346888881207053,"Bone Marrow, T-Lymphocytes, T Lineage-Specific Activation Antigen 1, Receptors, Immunologic, Lymphocyte Activation, Antigens, Differentiation, T-Lymphocyte","Clinical infection in practice, Experimental hematology",2022-2025,North America,2,64.2,86.2,25.6,99.7,86.2,28.4,68.6,Tier 2,False,False
310,song_k,Kevin Song,"Medical Sciences Division, University of Oxford, Oxford, United Kingdom.",UK,4,1,3,0.75,0,0,0.13471981888208634,,"Frontiers in oncology, Leukemia research, Blood neoplasia",2023-2026,Europe,1,78.1,65.9,78.7,44.2,65.9,86.7,68.6,Tier 2,True,True
311,han_j,Joungho Han,"Department of Oral and Maxillofacial Surgery, School of Dentistry, Dental Research Institute, Seoul National University, Seoul, Korea.",South Korea,5,1,3,0.6,0,0,0.07067036225061381,"Immunohistochemistry, Sepharose, Biopsy, Fine-Needle, Lymphoma, Large B-Cell, Diffuse, Immunophenotyping, Neoplasms","Taehan Yongsang Uihakhoe chi, Journal of bone metabolism, Journal of hematopathology",2021-2024,Asia-Pacific,1,85.1,65.9,78.7,44.2,65.9,64.8,68.2,Tier 2,False,True
312,yang_h,Hao Yang,"Institute of Opto-electronics, Harbin Institute of Technology, 2 Yikuang Street, 150080, Harbin, China; National Key Laboratory on Tunable Laser, Harbin Institute of Technology, 2 Yikuang Street, 150080, Harbin, China.",China,6,1,2,0.333,0,0,0.1533899866442008,"Animals, Antineoplastic Agents, Mice, Discriminant Analysis, Metal Nanoparticles, Multivariate Analysis","Analytica chimica acta, Oxidative medicine and cellular longevity, Rheumatology and immunology research",2021-2026,Asia-Pacific,1,89.7,65.9,55.1,44.2,65.9,89.0,68.2,Tier 2,False,True
313,lahuerta_j,Juan J Lahuerta,"Instituto de Investigación Sanitaria, Hospital Universitario 12 de Octubre (imas12) CIBERONC CB16/12/00369, Madrid, Spain.",Spain,3,1,2,0.667,2,0,0.05226497089390961,,"HemaSphere, Frontiers in oncology",2021-2024,Europe,1,64.2,65.9,55.1,95.2,65.9,49.3,68.1,Tier 2,False,True
314,hu_j,Jinsong Hu,"Xi'an Jiaotong University Health Science Center, Xi'An City, Shaanxi Province, China; The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'An City, Shaanxi Province, China.",China,3,1,2,0.667,1,0,0.06044417321463932,"Bortezomib, Gastrointestinal Microbiome, Cell Line, Tumor, Membrane Proteins, NIMA-Related Kinases, Solute Carrier Family 12, Member 2","Life sciences, Cell metabolism, Zhongguo shi yan xue ye xue za zhi",2023-2025,Asia-Pacific,1,64.2,65.9,55.1,91.0,65.9,58.6,68.1,Tier 2,False,True
315,tao_y,Yi Tao,"Department of Pathology, Xiangya Hospital, Central South University, Changsha, China.",China,5,1,3,0.6,0,0,0.06982236513583519,"Tumor Microenvironment, Animals, Drug Resistance, Neoplasm, Immune Checkpoint Inhibitors, Neoplasms, Programmed Cell Death 1 Receptor","Frontiers in immunology, Frontiers in pharmacology, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi",2021-2026,Asia-Pacific,1,85.1,65.9,78.7,44.2,65.9,64.4,68.1,Tier 2,False,True
316,dima_d,Danai Dima,"Department of Hematology/Oncology, Cleveland Clinic, Taussig Cancer Institute, Cleveland, Ohio; US Myeloma Innovations Research Collaborative, Westwood, Kansas. Electronic address: dimad@ccf.org.",USA,4,1,4,1.0,0,0,0.07279535621889845,"Neoplasms, Plasma Cell, Antineoplastic Agents, B-Cell Maturation Antigen, Retrospective Studies, Antibodies, Bispecific, Receptors, Chimeric Antigen","Transplantation and cellular therapy, Blood cancer journal",2024-2026,North America,1,78.1,65.9,88.8,44.2,65.9,66.0,68.0,Tier 2,True,True
317,lin_p,Paul Lin,"Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, Texas.",USA,4,1,4,1.0,0,0,0.07173343805638198,"Retrospective Studies, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Neoplasm, Residual, Transplantation Conditioning, Flow Cytometry","Transplantation and cellular therapy, Cancer, Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",2024-2026,North America,1,78.1,65.9,88.8,44.2,65.9,65.3,68.0,Tier 2,True,True
318,hu_l,Liang-Ding Hu,"Department of Hematopoietic Stem Cell Transplantation, The Fifth Medical Center of PLA General Hospital, Beijing 100071, China.E-mail: Huliangding@sohu.com.",China,4,3,2,0.5,0,0,0.03377471290936569,"Hematopoietic Stem Cell Mobilization, Lymphoma, Peripheral Blood Stem Cells, Retrospective Studies, RNA, Circular, RNA","Zhongguo shi yan xue ye xue za zhi, Journal of Zhejiang University. Science. B, European journal of medicinal chemistry",2021-2025,Asia-Pacific,3,78.1,94.8,55.1,44.2,94.8,28.7,67.9,Tier 2,False,True
319,wang_c,Chenyan Wang,"Department of Biomedical & Chemical Engineering, The BioInspired Institute for Materials and Living Systems, Syracuse University, Syracuse, New York, USA.",USA,5,1,4,0.8,0,0,0.04838174834246421,"Animals, Cells, Cultured, Chick Embryo, Myocytes, Cardiac, Myofibrils, Pluripotent Stem Cells","Cytoskeleton (Hoboken, N.J.), Zhongguo shi yan xue ye xue za zhi, BMC oral health",2021-2026,North America,1,85.1,65.9,88.8,44.2,65.9,46.3,67.8,Tier 2,True,True
320,zhang_f,Fujing Zhang,"Department of Hematology, Peking Union Medical College Hospital Chinese Academy of Medical Sciences Beijing China.",China,5,1,5,1.0,0,0,0.042723669801223274,"Bone Marrow, Thrombocythemia, Essential, Janus Kinase 2, Colorectal Neoplasms, Adenocarcinoma, Bortezomib","Chronic diseases and translational medicine, Indian journal of pathology & microbiology, Zhongguo shi yan xue ye xue za zhi",2024-2025,Asia-Pacific,1,85.1,65.9,93.1,44.2,65.9,39.3,67.8,Tier 2,True,True
321,kumar_p,Pradeep Kumar,"Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.",India,4,2,3,0.75,0,0,0.023738872403560828,"Plasma Cells, Plasmacytoma, Primary Myelofibrosis, In Situ Hybridization, Fluorescence, Retrospective Studies, Cross-Sectional Studies","Journal of clinical and experimental hematopathology : JCEH, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion, Indian journal of cancer",2023-2025,Asia-Pacific,2,78.1,86.2,78.7,44.2,86.2,16.7,67.7,Tier 2,True,True
322,ma_x,Xiaoyu Ma,"Clinical Laboratory, Tai-Yang-Gong Community Health Service Center, Beijing, China.",China,4,1,3,0.75,0,0,0.09594897401091805,,"Frontiers in psychology, British journal of cancer research, Journal of clinical & experimental oncology",2022-2025,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,76.8,67.6,Tier 2,True,True
323,kortum_k,K Martin Kortüm,"Department of Internal Medicine II, University Hospital of Würzburg, Würzburg, Germany.",Germany,4,1,3,0.75,0,0,0.09256471059349983,"Retrospective Studies, Lenalidomide, Spain, Dexamethasone, Thalidomide, Immunotherapy","European journal of haematology, Communications biology, Annals of hematology",2023-2025,Europe,1,78.1,65.9,78.7,44.2,65.9,75.3,67.5,Tier 2,True,True
324,yan_s,S Yan,"The First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Suzhou 215000, China.",China,5,1,3,0.6,0,0,0.0589587559564122,"Lenalidomide, Bortezomib, Induction Chemotherapy, Dexamethasone, Neutropenia, Thrombocytopenia","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Zhonghua zhong liu za zhi [Chinese journal of oncology], Case reports in hematology",2022-2026,Asia-Pacific,1,85.1,65.9,78.7,44.2,65.9,57.1,67.4,Tier 2,False,True
325,liu_b,Bin Liu,"Department of Traditional Chinese Medicine, the Second Affiliated Hospital of Guangzhou Medical University, Guangzhou, China. Electronic address: xmhoolv@163.com.",China,4,1,3,0.75,0,0,0.08773400521373013,"Thalidomide, Animals, Mice, STAT3 Transcription Factor, Signal Transduction, Melanoma","Phytomedicine : international journal of phytotherapy and phytopharmacology, Bioorganic chemistry, Annals of hematology",2023-2025,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,73.4,67.3,Tier 2,True,True
326,wang_g,Guanli Wang,"Department of Hematology, Shanghai East Hospital, Tongji University School of Medicine, Shanghai 200120, China.",China,4,1,4,1.0,0,0,0.059085222096029094,"ATPases Associated with Diverse Cellular Activities, Cantharidin, Cell Cycle Proteins, Enzyme Inhibitors, Molecular Docking Simulation, Metabolomics","Bioorganic & medicinal chemistry letters, Zhongguo shi yan xue ye xue za zhi, Frontiers in oncology",2024-2026,Asia-Pacific,1,78.1,65.9,88.8,44.2,65.9,57.2,67.2,Tier 2,True,True
327,awadallah_c,Carmel Awadallah,"Division of Internal Medicine, St John Episcopal Hospital, Far Rockaway, NY 11691, USA.",USA,3,2,3,1.0,0,0,0.048273580932001965,"Retrospective Studies, Transplantation, Autologous","Current oncology (Toronto, Ont.), Expert review of hematology",2026-2026,North America,2,64.2,86.2,78.7,44.2,86.2,46.0,67.2,Tier 2,True,True
328,hashmi_h,Hamza Hashmi,"Department of Hematology and Bone Marrow Transplant, Medical University of South Carolina, Hollings Cancer Center, Charleston, SC 29425, USA.",USA,3,3,2,0.667,0,0,0.05856519362649831,"Neoplasms, Plasma Cell, B-Cell Maturation Antigen, Retrospective Studies, Antibodies, Bispecific, Antineoplastic Agents, Receptors, Chimeric Antigen","Transplantation and cellular therapy, Journal of hematology",2023-2024,North America,3,64.2,94.8,55.1,44.2,94.8,56.6,67.2,Tier 2,False,True
329,mirgh_s,Sumeet Mirgh,"Homi Bhabha National Institute (HBNI), Mumbai, Maharashtra India.",India,3,2,3,1.0,0,0,0.04746587555697566,,"Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion, EJHaem",2025-2026,Asia-Pacific,2,64.2,86.2,78.7,44.2,86.2,44.5,67.0,Tier 2,True,True
330,zhou_f,Fuling Zhou,"Department of Hematology, Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University, Hangzhou, China.",China,6,0,2,0.333,2,0,0.2028417556344929,"Lymphoma, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, China, Wnt Signaling Pathway, Animals","Frontiers in oncology, Biomedical optics express, Bone marrow transplantation",2022-2025,Asia-Pacific,0,89.7,26.0,55.1,95.2,26.0,93.8,66.9,Tier 2,False,True
331,scheid_c,Christof Scheid,"Department of Internal Medicine I, University of Cologne, 50923 Cologne, Germany.",Germany,4,0,3,0.75,2,0,0.13271770052640655,,"Journal of clinical oncology : official journal of the American Society of Clinical Oncology, Cancers, Journal of hematology & oncology",2023-2026,Europe,0,78.1,26.0,78.7,95.2,26.0,86.4,66.8,Tier 2,True,True
332,yee_a,Andrew J Yee,"Center for Multiple Myeloma, Massachusetts General Hospital Cancer Center, Boston, MA.",USA,3,1,2,0.667,9,0,0.03189587631969265,"Antineoplastic Agents, Alkylating, Disease Management, Flow Cytometry, Melphalan, Neoplasm, Residual, Stem Cell Transplantation","Hematology. American Society of Hematology. Education Program, Blood cancer journal, Leukemia",2021-2026,North America,1,64.2,65.9,55.1,99.9,65.9,27.1,66.8,Tier 2,False,True
333,wei_z,Zhengxiao Wei,"Department of Clinical Laboratory, Public Health Clinical Medical Center of Chengdu, Chengdu, China.",China,3,2,1,0.333,1,0,0.031891378094031565,"Melphalan, Hematopoietic Stem Cell Transplantation, Transplantation, Autologous, Retrospective Studies, Prognosis","Translational cancer research, Frontiers in cell and developmental biology, Zhongguo shi yan xue ye xue za zhi",2021-2024,Asia-Pacific,2,64.2,86.2,25.6,91.0,86.2,26.9,66.7,Tier 2,False,True
334,cao_y,Yang Cao,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Department of Hematology, Wuhan, 430030, Hubei, China.",China,4,1,3,0.75,0,0,0.07312801381063694,"Hematopoietic Stem Cell Transplantation, Lymphoma, Transplantation, Autologous, China, Transplantation Conditioning, Receptors, Chimeric Antigen","Frontiers in oncology, Bone marrow transplantation, Cytotherapy",2023-2025,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,66.4,66.6,Tier 2,True,True
335,jelinek_t,Tomas Jelinek,"Faculty of Medicine, University of Ostrava, Ostrava, Czechia.",Unknown,5,1,2,0.4,0,0,0.12440704272401518,"Czech Republic, Animals, Biomarkers, Cytotoxicity, Immunologic, Disease Management, Disease Susceptibility","Frontiers in immunology, Neoplasma, Clinical lymphoma, myeloma & leukemia",2021-2026,Unknown,1,85.1,65.9,55.1,44.2,65.9,85.1,66.6,Tier 2,False,True
336,hayden_p,Patrick J Hayden,"Department of Haematology, St. James's Hospital, Dublin 8, Ireland; Trinity St. James's Cancer Institute, Trinity College and St James's Hospital, Dublin 8, Ireland.",Ireland,4,2,1,0.25,0,0,0.11540209471172834,"Antineoplastic Agents, Apoptosis, Cell Line, Tumor, Cell Survival, Gene Expression, Gene Expression Regulation, Leukemic","Life sciences, Annals of oncology : official journal of the European Society for Medical Oncology, The Lancet. Haematology",2022-2026,Europe,2,78.1,86.2,25.6,44.2,86.2,82.8,66.4,Tier 2,False,True
337,samur_m,Mehmet K Samur,"Department of Data Science, Dana Farber Cancer Institute, Boston, MA, 02215, USA. mehmet_samur@dfci.harvard.edu.",USA,5,1,2,0.4,0,0,0.11272133931448998,"Alternative Splicing, RNA Splicing Factors, Exons, Serine-Arginine Splicing Factors","Blood, Blood cancer journal, Nature communications",2022-2026,North America,1,85.1,65.9,55.1,44.2,65.9,82.2,66.4,Tier 2,False,True
338,yan_y,Yurong Yan,"Hematology Department, First Hospital of Jilin University, Changchun, Jilin, China.",China,4,1,3,0.75,0,0,0.06997570743003602,"Neoplasm, Residual, Chromosome Aberrations, Prognosis, China, Retrospective Studies, Thalidomide","American journal of hematology, BMC cancer, Cancer immunology, immunotherapy : CII",2023-2025,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,64.5,66.4,Tier 2,True,True
339,teipel_r,Raphael Teipel,"Department of Internal Medicine I, University Hospital Dresden, Technical University Dresden, Dresden, Germany.",Germany,3,1,3,1.0,0,0,0.43945195211576715,,"The New England journal of medicine, Haematologica, Journal of hematology & oncology",2026-2026,Europe,1,64.2,65.9,78.7,44.2,65.9,98.6,66.3,Tier 2,True,True
340,tan_t,Tze King Tan,"Cancer Science Institute of Singapore, National University of Singapore, Centre for Translational Medicine, Singapore, Republic of Singapore.",Singapore,3,2,2,0.667,0,0,0.0863692971544883,"Cell Line, Tumor, Cell Proliferation, DNA-Binding Proteins, Up-Regulation","Cancer research, EJHaem, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion",2022-2026,Asia-Pacific,2,64.2,86.2,55.1,44.2,86.2,72.9,66.3,Tier 2,False,True
341,prakash_g,Gaurav Prakash,"Department of Clinical Hematology and Medical Oncology, Postgraduate Institute of Medical Education and Research, Sector 12, 160012 Chandigarh, India.",India,5,1,4,0.8,0,0,0.03452710505238099,,"Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion, International journal of hematology-oncology and stem cell research",2023-2025,Asia-Pacific,1,85.1,65.9,88.8,44.2,65.9,30.1,66.2,Tier 2,True,True
342,jakubikova_j,J Jakubíková,"Department of Tumor Immunology, Cancer Research Institute, Biomedical Research Center, Slovak Academy of Sciences, Bratislava, Slovakia.",Unknown,3,2,2,0.667,0,0,0.0837658429027014,"Pilot Projects, Quality of Life, Paraproteinemias, Adrenergic Agents, B-Lymphocytes, Bortezomib","Klinicka onkologie : casopis Ceske a Slovenske onkologicke spolecnosti, Cancer biology & therapy, Neoplasma",2023-2026,Unknown,2,64.2,86.2,55.1,44.2,86.2,71.5,66.2,Tier 2,False,True
343,xu_c,Cuiping Xu,"Department of Respiratory and Critical Care Medicine, Beijing Bo-Ai Hospital, China Rehabilitation Research Center, Beijing, China.",China,4,1,3,0.75,0,0,0.06523695344244365,"Animals, Mice, Cell Line, Tumor, Exosomes, Hypoxia-Inducible Factor 1, alpha Subunit, Vascular Endothelial Growth Factor A","Frontiers in psychology, International immunopharmacology, Journal for immunotherapy of cancer",2022-2026,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,61.6,66.1,Tier 2,True,True
344,singh_s,Shalendra Singh,"Associate Professor, Department of Anaesthesiology & Critical Care, Armed Forces Medical College, Pune, India.",India,4,2,2,0.5,0,0,0.03845402907704441,"Plasma Cells, Skin Neoplasms","Medical journal, Armed Forces India, Journal of cutaneous pathology, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion",2022-2026,Asia-Pacific,2,78.1,86.2,55.1,44.2,86.2,34.6,66.0,Tier 2,False,True
345,qiu_l,Lugui Qiu,"State Key Laboratory of Experimental Hematology, National Clinical Research Center for Blood Diseases, Haihe Laboratory of Cell Ecosystem, Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College, Tianjin 300020, China.",China,6,0,2,0.333,2,1,0.12342835315800597,"Plasma Cells, Prognosis, Immunoglobulin M, In Situ Hybridization, Fluorescence, MicroRNAs, Gene Expression Regulation, Neoplastic","Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in immunology, Bone marrow transplantation",2021-2025,Asia-Pacific,0,89.7,26.0,55.1,95.2,26.0,84.8,66.0,Tier 2,False,False
346,kroger_n,Nicolaus Kröger,"Department of Stem Cell Transplantation, University Medical Center Hamburg, Germany.",Germany,4,1,2,0.5,0,0,0.2036556498084183,"Immunotherapy, Adoptive, Receptors, Chimeric Antigen, Accreditation, Bone Marrow, Hematology, Receptors, Antigen, T-Cell","Annals of oncology : official journal of the European Society for Medical Oncology, Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie, Medizinische Klinik, Intensivmedizin und Notfallmedizin",2022-2026,Europe,1,78.1,65.9,55.1,44.2,65.9,93.9,65.8,Tier 2,False,True
347,smith_e,Eric Smith,"Population Bio, Inc., New York, NY, United States.",USA,4,1,2,0.5,0,0,0.2116988201412151,"Receptors, Chimeric Antigen, Immunotherapy, Adoptive, T-Lymphocytes, Receptors, G-Protein-Coupled, Neoplasms, Plasma Cell, Albumins","Frontiers in neurology, The New England journal of medicine, Transplantation and cellular therapy",2022-2025,North America,1,78.1,65.9,55.1,44.2,65.9,94.5,65.8,Tier 2,False,True
348,sperling_a,Adam S Sperling,"Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, United States.",USA,4,1,2,0.5,0,0,0.16899339323598353,"Binding Sites, Casein Kinase Ialpha, Cell Line, Tumor, Cell Proliferation, Cyclic Nucleotide Phosphodiesterases, Type 6, Immunotherapy","Journal of medicinal chemistry, Nature communications, Haematologica",2022-2026,North America,1,78.1,65.9,55.1,44.2,65.9,90.8,65.5,Tier 2,False,True
349,alkharabsheh_o,Omar Alkharabsheh,"Division of Hematology and Oncology, Mitchell Cancer Institute, University of South Alabama, Mobile, AL 36604, USA.",USA,4,1,3,0.75,0,0,0.05731461948578948,"Retrospective Studies, Transplantation, Autologous","Current oncology (Toronto, Ont.), Cancers, Expert review of hematology",2021-2026,North America,1,78.1,65.9,78.7,44.2,65.9,55.4,65.5,Tier 2,True,True
350,matsue_k,Kosei Matsue,"Division of Hematology/Oncology, Department of Internal Medicine, Kameda Medical Center, 929 Higashi-chou, Kamogawa, 296-8602, Japan.",Japan,3,2,2,0.667,0,0,0.0688261694688476,"Survival Rate, Bone Neoplasms, Cost of Illness, Diffusion Magnetic Resonance Imaging, Disease-Free Survival, Neoplasm Metastasis","Scientific reports, International journal of hematology, British journal of haematology",2021-2026,Asia-Pacific,2,64.2,86.2,55.1,44.2,86.2,63.7,65.4,Tier 2,False,True
351,rubinstein_s,Samuel M Rubinstein,"Department of Medicine, Division of Hematology, Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA.",USA,4,1,3,0.75,0,0,0.056856227532382404,"Prognosis, ADP-ribosyl Cyclase 1, Neoplasms, Plasma Cell, Geriatric Assessment, Feasibility Studies, Neoplasms","Blood cancer journal, Journal of geriatric oncology, Frontiers in artificial intelligence",2022-2026,North America,1,78.1,65.9,78.7,44.2,65.9,54.9,65.4,Tier 2,True,True
352,geraldes_c,Catarina Geraldes,"Departamento de Hematologia Clínica, Centro Hospitalar e Universitário de Coimbra, Coimbra, Portugal.",Portugal,3,2,2,0.667,0,0,0.0690586158481965,,"Frontiers in oncology, EJHaem, Hematology reports",2021-2026,Europe,2,64.2,86.2,55.1,44.2,86.2,64.0,65.4,Tier 2,False,True
353,liu_d,Dong Liu,"Department of Radiology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences, Beijing, China.",China,4,1,4,1.0,0,0,0.0408877588307447,"Diffusion Magnetic Resonance Imaging, Retrospective Studies, Whole Body Imaging, Echo-Planar Imaging, Tumor Burden, Image Processing, Computer-Assisted","Journal of magnetic resonance imaging : JMRI, Frontiers in oncology, Frontiers in neurology",2024-2025,Asia-Pacific,1,78.1,65.9,88.8,44.2,65.9,37.9,65.2,Tier 2,True,True
354,sunami_k,Kazutaka Sunami,"Department of Hematology, NHO Okayama Medical Center, 1711-1 Tamasu Kitaku, Okayama, Japan. kazusuna@pop12.odn.ne.jp.",Japan,3,1,3,1.0,0,0,0.1440720154928719,"Dexamethasone, Antibodies, Monoclonal, Humanized, Japan, Recurrence, East Asian People, Bortezomib","International journal of hematology, Blood cancer journal",2025-2026,Asia-Pacific,1,64.2,65.9,78.7,44.2,65.9,87.7,65.2,Tier 2,True,True
355,kaiser_m,Martin F Kaiser,"The Institute of Cancer Research, London, UK.",Unknown,3,1,1,0.333,1,0,0.08762419770610443,"Lenalidomide, Vorinostat, Dexamethasone","British journal of haematology, Nature communications, EJHaem",2022-2026,Unknown,1,64.2,65.9,25.6,91.0,65.9,73.2,65.2,Tier 2,False,True
356,baljevic_m,Muhamed Baljevic,"Department of Internal Medicine, Vanderbilt University, Nashville, Tennessee, USA.",USA,3,2,1,0.333,1,0,0.017901517729264533,,"Case reports in oncology, Cureus, EJHaem",2021-2024,North America,2,64.2,86.2,25.6,91.0,86.2,9.8,65.0,Tier 2,False,True
357,deng_j,Jun Deng,"Institute of Hematology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430022, China.",China,4,1,3,0.75,0,0,0.05285329075302231,"Adenosine, Alpha-Ketoglutarate-Dependent Dioxygenase FTO, Animals, Heat Shock Transcription Factors, Mice, Mice, Inbred NOD","Molecular therapy : the journal of the American Society of Gene Therapy, Transplantation and cellular therapy, Cancer treatment and research communications",2022-2026,Asia-Pacific,1,78.1,65.9,78.7,44.2,65.9,49.7,64.9,Tier 2,True,True
358,bobin_a,Arthur Bobin,"Hematology, CIC 1082, U1313, CHU, University, Poitiers, France.",France,3,1,3,1.0,0,0,0.1202924147035718,,"Blood cancer journal, Bulletin du cancer, Clinical hematology international",2024-2026,Europe,1,64.2,65.9,78.7,44.2,65.9,84.2,64.9,Tier 2,True,True
359,yang_m,Miao-Miao Yang,"Department of Clinical Laboratory, Suqian First People's Hospital, Suqian 223800, Jiangsu Province, China.",China,4,1,4,1.0,0,0,0.037615861733568956,"Prognosis, Risk Factors, Complement C3, Complement C4, Nomograms, ROC Curve","Zhongguo shi yan xue ye xue za zhi, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi, Frontiers in oncology",2024-2025,Asia-Pacific,1,78.1,65.9,88.8,44.2,65.9,33.9,64.8,Tier 2,True,True
360,coriu_d,Daniel Coriu,"Clinical Department I, Hematology, Fundeni Clinical Institute, 022328 Bucharest, Romania.",Romania,3,2,3,1.0,0,0,0.02821393977361224,"Romania, Risk, Recurrence, Tumor Suppressor Protein p53, In Situ Hybridization, Chromosome Deletion","Cancers, International journal of molecular sciences, Journal of clinical medicine",2025-2026,Europe,2,64.2,86.2,78.7,44.2,86.2,22.4,64.8,Tier 2,True,True
361,xu_r,Ruqing Xu,"Department of Oncology, The First Affiliated Hospital of Chongqing Medical University, Chongqing 400016, China.",China,3,2,3,1.0,0,0,0.027410277964071205,,"Genes & diseases, EJHaem, Nutrition (Burbank, Los Angeles County, Calif.)",2024-2026,Asia-Pacific,2,64.2,86.2,78.7,44.2,86.2,21.9,64.8,Tier 2,True,True
362,vesole_d,David H Vesole,Hackensack Meridian Health John Theurer Cancer Center Hackensack New Jersey USA.,USA,4,1,2,0.5,0,0,0.11921284473729678,"Leukemia, Plasma Cell, Prognosis, United States, Neoplasm Recurrence, Local, Antibodies, Monoclonal, Humanized, Progression-Free Survival","Clinical lymphoma, myeloma & leukemia, EJHaem, Cancer",2021-2026,North America,1,78.1,65.9,55.1,44.2,65.9,83.8,64.8,Tier 2,False,True
363,zhong_y,Yu Zhong,"Department of Pharmacy, Cancer Hospital of China Medical University, Liaoning Cancer Hospital & Institute, Shenyang, 110042, Liaoning Province, People's Republic of China.",China,3,2,1,0.333,1,0,0.014879916479796071,"Animals, Bone Neoplasms, Capsules, Diphosphonates, Drug Delivery Systems, Liposomes","Drug design, development and therapy, Annals of translational medicine, Chinese medical journal",2021-2026,Asia-Pacific,2,64.2,86.2,25.6,91.0,86.2,6.4,64.6,Tier 2,False,True
364,rosenberg_a,Aaron S Rosenberg,"Division of Malignant Hematology, Cellular Therapy and Transplantation, University of California Davis Comprehensive Cancer Center, Sacramento, CA.",USA,3,1,3,1.0,0,0,0.1069053097455765,"United States, Medicare, Insurance, Health, Transplantation, Autologous, Hematopoietic Stem Cell Transplantation, Antibodies, Bispecific","Clinical lymphoma, myeloma & leukemia, Expert review of anticancer therapy",2024-2026,North America,1,64.2,65.9,78.7,44.2,65.9,81.0,64.6,Tier 2,True,True
